t_z,z_t_puf1,z_t_puf2
6.734375e-10,2.9201930969632677e-05,3.9976449184304814e-05
6.75e-10,2.959103198073971e-05,3.849337315537193e-05
6.765625000000001e-10,2.9647463062075503e-05,3.736726657733099e-05
6.781250000000001e-10,3.092530943375514e-05,3.542929586935862e-05
6.796875e-10,3.236851024534705e-05,3.489756069661746e-05
6.8125e-10,3.202473993837815e-05,3.35426975428748e-05
6.828125e-10,3.1769173046086744e-05,3.398124434385009e-05
6.84375e-10,3.19968406939988e-05,3.285114006082495e-05
6.859375e-10,3.231500135190231e-05,3.174049807517011e-05
6.875000000000001e-10,3.2896992074087436e-05,3.0914692467083744e-05
6.890625000000001e-10,3.424112937135686e-05,2.9805982194755998e-05
6.90625e-10,3.51806710825935e-05,2.9930272493763058e-05
6.921875e-10,3.537609182568559e-05,2.96120943322497e-05
6.9375e-10,3.664074299380326e-05,2.9426580340965184e-05
6.953125e-10,3.669338346260056e-05,2.7995867421738975e-05
6.96875e-10,3.56291099806159e-05,2.6954274398102618e-05
6.984375e-10,3.551051345249111e-05,2.6633498544542353e-05
7.000000000000001e-10,3.619867335562716e-05,2.6208745027272918e-05
7.015625e-10,3.754557199086115e-05,2.6342104647723155e-05
